model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
BAAI/bge-m3,baseline,-,10,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465038 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,11,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,12,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,13,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465038 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,14,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Polyurethan PUR PIR,0.421236,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyurethan PUR PIR | Gipsfaserplatte | Messing-/Baubronzeblech | Konstruktionsvollholz | Armierungsstahl | Polysulfiddichtungsmasse | 2-Komponenten Klebstoff | Hartbeton zweischichtig | Hartbeton einschichtig | Polycarbonat PC,0.421236 | 0.420517 | 0.419987 | 0.405683 | 0.398947 | 0.395657 | 0.394868 | 0.393935 | 0.391418 | 0.385794
BAAI/bge-m3,baseline,-,15,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.598271,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Armierungsstahl | Stahlprofil blank | Messing-/Baubronzeblech | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Chromstahlblech verzinnt,0.598271 | 0.573692 | 0.552470 | 0.549051 | 0.516335 | 0.500868 | 0.493082 | 0.492370 | 0.491136 | 0.491013
BAAI/bge-m3,baseline,-,16,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Polycarbonat PC,0.465290,50,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polycarbonat PC | Polyethylen PE | Glasfaserbeton | Polyester UP glasfaserverstärkt | Hartbeton einschichtig | Messing-/Baubronzeblech | 2-Komponenten Klebstoff | Dichtungsbahn Polyolefin FPO | Bitumenemulsion | Magerbeton,0.465290 | 0.463930 | 0.458586 | 0.457418 | 0.455004 | 0.452398 | 0.450271 | 0.449032 | 0.448833 | 0.437795
BAAI/bge-m3,baseline,-,17,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Polycarbonat PC,0.465290,50,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polycarbonat PC | Polyethylen PE | Glasfaserbeton | Polyester UP glasfaserverstärkt | Hartbeton einschichtig | Messing-/Baubronzeblech | 2-Komponenten Klebstoff | Dichtungsbahn Polyolefin FPO | Bitumenemulsion | Magerbeton,0.465290 | 0.463930 | 0.458586 | 0.457418 | 0.455004 | 0.452398 | 0.450271 | 0.449032 | 0.448833 | 0.437795
BAAI/bge-m3,baseline,-,18,IfcBearing PTFE,Polyethylen PE,Polyethylen PE,1,Polyethylenfolie PE,0.563862,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Polyethylenfolie PE | Polyethylen PE | Polycarbonat PC | Polyester UP glasfaserverstärkt | Polyethylenvlies PE | Dichtungsbahn Polyolefin FPO | Betonfertigteil hochfest | Bohrpfahlbeton | Glasfaserbeton | Polypropylen PP,0.563862 | 0.555853 | 0.518939 | 0.516045 | 0.502478 | 0.492907 | 0.484582 | 0.482512 | 0.470758 | 0.469295
BAAI/bge-m3,baseline,-,19,IfcBearing Polytetrafluoroethylene,Polyethylen PE,Polyethylen PE,1,Polyethylen PE,0.623482,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Polyethylen PE | Polyethylenfolie PE | Polypropylen PP | Dichtungsbahn Polyolefin FPO | Polyethylenvlies PE | Polyester UP glasfaserverstärkt | Polycarbonat PC | Polysulfiddichtungsmasse | Polyvinylchlorid PVC | Polystyrol PS,0.623482 | 0.607468 | 0.585409 | 0.573136 | 0.570223 | 0.549926 | 0.549714 | 0.537145 | 0.527042 | 0.518527
BAAI/bge-m3,baseline,-,20,IfcBearing Teflon,Polyethylen PE,Polyethylen PE,1,Polyester UP glasfaserverstärkt,0.522277,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyester UP glasfaserverstärkt | 2-Komponenten Klebstoff | Hartbeton einschichtig | Messing-/Baubronzeblech | Glasfaserbeton | Hartbeton zweischichtig | Gipsfaserplatte | Tiefbaubeton | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.522277 | 0.508911 | 0.503775 | 0.495376 | 0.492433 | 0.491333 | 0.485157 | 0.484997 | 0.481590 | 0.479745
BAAI/bge-m3,baseline,-,21,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Polyurethan PUR PIR,0.421236,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyurethan PUR PIR | Gipsfaserplatte | Messing-/Baubronzeblech | Konstruktionsvollholz | Armierungsstahl | Polysulfiddichtungsmasse | 2-Komponenten Klebstoff | Hartbeton zweischichtig | Hartbeton einschichtig | Polycarbonat PC,0.421236 | 0.420517 | 0.419987 | 0.405683 | 0.398947 | 0.395657 | 0.394868 | 0.393935 | 0.391418 | 0.385794
BAAI/bge-m3,baseline,-,22,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.598271,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Armierungsstahl | Stahlprofil blank | Messing-/Baubronzeblech | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Chromstahlblech verzinnt,0.598271 | 0.573692 | 0.552470 | 0.549051 | 0.516335 | 0.500868 | 0.493082 | 0.492370 | 0.491136 | 0.491013
BAAI/bge-m3,baseline,-,23,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Polyurethan PUR PIR,0.421236,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyurethan PUR PIR | Gipsfaserplatte | Messing-/Baubronzeblech | Konstruktionsvollholz | Armierungsstahl | Polysulfiddichtungsmasse | 2-Komponenten Klebstoff | Hartbeton zweischichtig | Hartbeton einschichtig | Polycarbonat PC,0.421236 | 0.420517 | 0.419987 | 0.405683 | 0.398947 | 0.395657 | 0.394868 | 0.393935 | 0.391418 | 0.385794
BAAI/bge-m3,baseline,-,24,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.598271,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Armierungsstahl | Stahlprofil blank | Messing-/Baubronzeblech | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Chromstahlblech verzinnt,0.598271 | 0.573692 | 0.552470 | 0.549051 | 0.516335 | 0.500868 | 0.493082 | 0.492370 | 0.491136 | 0.491013
BAAI/bge-m3,baseline,-,25,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Polyurethan PUR PIR,0.421236,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyurethan PUR PIR | Gipsfaserplatte | Messing-/Baubronzeblech | Konstruktionsvollholz | Armierungsstahl | Polysulfiddichtungsmasse | 2-Komponenten Klebstoff | Hartbeton zweischichtig | Hartbeton einschichtig | Polycarbonat PC,0.421236 | 0.420517 | 0.419987 | 0.405683 | 0.398947 | 0.395657 | 0.394868 | 0.393935 | 0.391418 | 0.385794
BAAI/bge-m3,baseline,-,26,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.598271,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Armierungsstahl | Stahlprofil blank | Messing-/Baubronzeblech | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Chromstahlblech verzinnt,0.598271 | 0.573692 | 0.552470 | 0.549051 | 0.516335 | 0.500868 | 0.493082 | 0.492370 | 0.491136 | 0.491013
BAAI/bge-m3,baseline,-,27,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Polyurethan PUR PIR,0.421236,18,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Polyurethan PUR PIR | Gipsfaserplatte | Messing-/Baubronzeblech | Konstruktionsvollholz | Armierungsstahl | Polysulfiddichtungsmasse | 2-Komponenten Klebstoff | Hartbeton zweischichtig | Hartbeton einschichtig | Polycarbonat PC,0.421236 | 0.420517 | 0.419987 | 0.405683 | 0.398947 | 0.395657 | 0.394868 | 0.393935 | 0.391418 | 0.385794
BAAI/bge-m3,baseline,-,28,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.598271,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Armierungsstahl | Stahlprofil blank | Messing-/Baubronzeblech | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Chromstahlblech verzinnt,0.598271 | 0.573692 | 0.552470 | 0.549051 | 0.516335 | 0.500868 | 0.493082 | 0.492370 | 0.491136 | 0.491013
BAAI/bge-m3,baseline,-,29,IfcCaissonFoundation Beton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Betonfertigteil normalfest,0.497688,3,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.306574,0.166667,0.500000,Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefbaubeton | Magerbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Betonziegel | Hartbeton zweischichtig | Hartbeton einschichtig,0.497688 | 0.488345 | 0.478979 | 0.470498 | 0.469551 | 0.469191 | 0.466978 | 0.461841 | 0.461133 | 0.459687
BAAI/bge-m3,baseline,-,30,IfcCaissonFoundation Stahlbeton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefgründung Ortbetonverdrängungspfahl 660/580,0.514510,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.580279,0.375000,1.000000,Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefbaubeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 1200,0.514510 | 0.510951 | 0.506087 | 0.492215 | 0.490487 | 0.486736 | 0.483977 | 0.480950 | 0.479251 | 0.478600
BAAI/bge-m3,baseline,-,31,IfcCaissonFoundation Beton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Betonfertigteil normalfest,0.497688,3,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.306574,0.166667,0.500000,Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefbaubeton | Magerbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Betonziegel | Hartbeton zweischichtig | Hartbeton einschichtig,0.497688 | 0.488345 | 0.478979 | 0.470498 | 0.469551 | 0.469191 | 0.466978 | 0.461841 | 0.461133 | 0.459687
BAAI/bge-m3,baseline,-,32,IfcCaissonFoundation Stahlbeton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefgründung Ortbetonverdrängungspfahl 660/580,0.514510,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.580279,0.375000,1.000000,Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefbaubeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 1200,0.514510 | 0.510951 | 0.506087 | 0.492215 | 0.490487 | 0.486736 | 0.483977 | 0.480950 | 0.479251 | 0.478600
BAAI/bge-m3,baseline,-,33,IfcColumn Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.522615,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Dichtungsbahn bituminös | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig | Konstruktionsvollholz | Hartbeton einschichtig | Magerbeton | Bohrpfahlbeton | Glasfaserbeton,0.522615 | 0.503626 | 0.495010 | 0.493641 | 0.483702 | 0.483189 | 0.481942 | 0.472942 | 0.471663 | 0.470725
BAAI/bge-m3,baseline,-,34,IfcColumn Stahlbeton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.534738,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Konstruktionsvollholz | Dichtungsbahn bituminös | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest | Magerbeton | Bohrpfahlbeton,0.534738 | 0.496393 | 0.495261 | 0.490769 | 0.487758 | 0.477302 | 0.476675 | 0.469971 | 0.465929 | 0.462105
BAAI/bge-m3,baseline,-,35,IfcColumn S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Hartbeton einschichtig,0.437398,8,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.125000,0.193426,0.062500,0.500000,Hartbeton einschichtig | Konstruktionsvollholz | Hartbeton zweischichtig | 2-Komponenten Klebstoff | Gipsfaserplatte | Messing-/Baubronzeblech | Armierungsstahl | Stahlblech verzinkt | Polysulfiddichtungsmasse | Polypropylen PP,0.437398 | 0.434136 | 0.431873 | 0.428701 | 0.423382 | 0.423127 | 0.416970 | 0.409087 | 0.408352 | 0.407665
BAAI/bge-m3,baseline,-,36,IfcColumn Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.522615,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Dichtungsbahn bituminös | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig | Konstruktionsvollholz | Hartbeton einschichtig | Magerbeton | Bohrpfahlbeton | Glasfaserbeton,0.522615 | 0.503626 | 0.495010 | 0.493641 | 0.483702 | 0.483189 | 0.481942 | 0.472942 | 0.471663 | 0.470725
BAAI/bge-m3,baseline,-,37,IfcColumn Stahlbeton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.534738,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Konstruktionsvollholz | Dichtungsbahn bituminös | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest | Magerbeton | Bohrpfahlbeton,0.534738 | 0.496393 | 0.495261 | 0.490769 | 0.487758 | 0.477302 | 0.476675 | 0.469971 | 0.465929 | 0.462105
BAAI/bge-m3,baseline,-,38,IfcColumn S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Hartbeton einschichtig,0.437398,8,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.125000,0.193426,0.062500,0.500000,Hartbeton einschichtig | Konstruktionsvollholz | Hartbeton zweischichtig | 2-Komponenten Klebstoff | Gipsfaserplatte | Messing-/Baubronzeblech | Armierungsstahl | Stahlblech verzinkt | Polysulfiddichtungsmasse | Polypropylen PP,0.437398 | 0.434136 | 0.431873 | 0.428701 | 0.423382 | 0.423127 | 0.416970 | 0.409087 | 0.408352 | 0.407665
BAAI/bge-m3,baseline,-,39,IfcColumn Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.522615,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Dichtungsbahn bituminös | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig | Konstruktionsvollholz | Hartbeton einschichtig | Magerbeton | Bohrpfahlbeton | Glasfaserbeton,0.522615 | 0.503626 | 0.495010 | 0.493641 | 0.483702 | 0.483189 | 0.481942 | 0.472942 | 0.471663 | 0.470725
BAAI/bge-m3,baseline,-,40,IfcColumn Stahlbeton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.534738,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Konstruktionsvollholz | Dichtungsbahn bituminös | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest | Magerbeton | Bohrpfahlbeton,0.534738 | 0.496393 | 0.495261 | 0.490769 | 0.487758 | 0.477302 | 0.476675 | 0.469971 | 0.465929 | 0.462105
BAAI/bge-m3,baseline,-,41,IfcColumn S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Hartbeton einschichtig,0.437398,8,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.125000,0.193426,0.062500,0.500000,Hartbeton einschichtig | Konstruktionsvollholz | Hartbeton zweischichtig | 2-Komponenten Klebstoff | Gipsfaserplatte | Messing-/Baubronzeblech | Armierungsstahl | Stahlblech verzinkt | Polysulfiddichtungsmasse | Polypropylen PP,0.437398 | 0.434136 | 0.431873 | 0.428701 | 0.423382 | 0.423127 | 0.416970 | 0.409087 | 0.408352 | 0.407665
