model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,baseline,-,0,B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.450090,29,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Baugrubensicherung Schlitzwand 800 | Blei | Backstein | Gusseisen | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Bitumenemulsion | Sand | Betonziegel | Tiefbaubeton,0.450090 | 0.423244 | 0.418893 | 0.411877 | 0.409277 | 0.401349 | 0.395411 | 0.395065 | 0.390625 | 0.383610
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Polyvinylchlorid PVC,0.527387,20,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Polyvinylchlorid PVC | Phenolharz PF | Polystyrol PS | Polycarbonat PC | Polypropylen PP | 2-Komponenten Klebstoff | Silicon-Fugenmasse | Polyurethan PUR PIR | Gussasphalt | Acrylnitril-Butadien-Styrol ABS,0.527387 | 0.507854 | 0.504818 | 0.504390 | 0.504043 | 0.503964 | 0.503925 | 0.503319 | 0.502546 | 0.502428
BAAI/bge-m3,baseline,-,0,B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 700,0.445289,13,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Tiefgründung Ortbetonbohrpfahl 700 | Bohrpfahlbeton | Brettschichtholz | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Brettsperrholz | Bitumenemulsion | Gipsfaserplatte | Baugrubensicherung Schlitzwand 400 | Tiefbaubeton,0.445289 | 0.435953 | 0.429387 | 0.422283 | 0.419942 | 0.418864 | 0.416598 | 0.410039 | 0.404422 | 0.403002
BAAI/bge-m3,baseline,-,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.709685,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonziegel | Tiefbaubeton | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Hartbeton einschichtig | Sand | Hartbeton zweischichtig,0.709685 | 0.690737 | 0.658913 | 0.591517 | 0.590797 | 0.584966 | 0.583699 | 0.561398 | 0.555471 | 0.553342
BAAI/bge-m3,baseline,-,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Magerbeton,0.572449,4,False,0.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,Magerbeton | Glasfaserbeton | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Betonfertigteil normalfest | Hartbeton zweischichtig | Bohrpfahlbeton | Betonfertigteil hochfest | Gipskartonplatte,0.572449 | 0.551146 | 0.547786 | 0.547556 | 0.542239 | 0.530787 | 0.518915 | 0.514926 | 0.506433 | 0.482968
BAAI/bge-m3,baseline,-,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Betonfertigteil normalfest,0.598207,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Magerbeton | Betonziegel | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl,0.598207 | 0.589474 | 0.577506 | 0.572659 | 0.555451 | 0.546007 | 0.541881 | 0.539456 | 0.535132 | 0.519609
BAAI/bge-m3,baseline,-,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,1.000000,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Tiefbaubeton | Glasfaserbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Faserzementplatte | Betonziegel | Kalksteinplatte | Tiefgründung Vorgefertigter Betonpfahl,1.000000 | 0.676551 | 0.670705 | 0.574816 | 0.553805 | 0.551980 | 0.521613 | 0.513633 | 0.513051 | 0.504667
BAAI/bge-m3,baseline,-,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,2-Komponenten Klebstoff,0.547689,55,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2-Komponenten Klebstoff | Plexiglas PMMA Acrylglas | Bitumenemulsion | Polyvinylchlorid PVC | Glasfaserbeton | Konstruktionsvollholz | Kraftpapier | Hartbeton einschichtig | Polyethylen PE | Polypropylen PP,0.547689 | 0.518017 | 0.517665 | 0.515285 | 0.507417 | 0.505539 | 0.504258 | 0.493214 | 0.489053 | 0.488856
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,0,B500B,Armierungsstahl,Armierungsstahl,1,Bohrpfahlbeton,0.536370,30,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Bohrpfahlbeton | Polyvinylchlorid PVC | Polysulfiddichtungsmasse | Bitumenemulsion | Brettschichtholz | Tiefbaubeton | Hartfaserplatte | Polyurethan PUR PIR | Polycarbonat PC | Betonfertigteil hochfest,0.536370 | 0.510513 | 0.509927 | 0.508315 | 0.504358 | 0.504288 | 0.502481 | 0.502219 | 0.501295 | 0.501144
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Gusseisen,0.570458,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Gusseisen | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Blei | Glasfaserbeton | Backstein | Messing-/Baubronzeblech | Hartbeton zweischichtig | Polyethylen PE,0.570458 | 0.557184 | 0.555714 | 0.553835 | 0.543556 | 0.541431 | 0.536488 | 0.535686 | 0.530112 | 0.528780
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.672347,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Polycarbonat PC | Betonfertigteil hochfest | Bohrpfahlbeton | Gusseisen | Betonfertigteil normalfest | Polyethylen PE | Hartbeton zweischichtig,0.672347 | 0.578730 | 0.549684 | 0.539556 | 0.536433 | 0.524238 | 0.522063 | 0.519843 | 0.519652 | 0.516805
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Glasfaserbeton,0.590980,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Glasfaserbeton | Tiefbaubeton | Bohrpfahlbeton | Betonfertigteil hochfest | Polycarbonat PC | Betonfertigteil normalfest | Polyethylen PE | Magerbeton | Polypropylen PP | Hartbeton einschichtig,0.590980 | 0.581592 | 0.568482 | 0.550651 | 0.537346 | 0.534607 | 0.527492 | 0.519710 | 0.519278 | 0.517600
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,0.731020,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton einschichtig | Bohrpfahlbeton | Kalksandstein | Kalksteinplatte | Betonziegel | Hartbeton zweischichtig | Glasfaserbeton,0.731020 | 0.593099 | 0.536952 | 0.524507 | 0.523429 | 0.521197 | 0.518333 | 0.512402 | 0.511883 | 0.509349
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Polyvinylchlorid PVC,0.527387,55,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Polyvinylchlorid PVC | Kraftpapier | Gusseisen | Polystyrol PS | Polycarbonat PC | Polypropylen PP | 2-Komponenten Klebstoff | Silicon-Fugenmasse | Gussasphalt | Acrylnitril-Butadien-Styrol ABS,0.527387 | 0.511392 | 0.511391 | 0.504818 | 0.504390 | 0.504043 | 0.503964 | 0.503925 | 0.502546 | 0.502428
intfloat/multilingual-e5-large,baseline,-,0,B500B,Armierungsstahl,Armierungsstahl,1,Polycarbonat PC,0.806955,79,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Polycarbonat PC | Acrylnitril-Butadien-Styrol ABS | Polyethylen PE | Bitumenemulsion | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Heissbitumen | Magerbeton | Massivholz Buche Eiche kammergetrocknet gehobelt | Tiefgründung Ortbetonbohrpfahl 900 | Phenolharz PF,0.806955 | 0.802690 | 0.792267 | 0.790656 | 0.790238 | 0.788546 | 0.788503 | 0.788064 | 0.787259 | 0.786835
intfloat/multilingual-e5-large,baseline,-,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Magerbeton,0.890962,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Magerbeton | Betonziegel | Tiefbaubeton | Glasfaserbeton | Bohrpfahlbeton | Sand | Polyethylen PE | Hartbeton einschichtig | Blei | Betonfertigteil normalfest,0.890962 | 0.881990 | 0.878243 | 0.864294 | 0.846231 | 0.845188 | 0.841243 | 0.841229 | 0.832935 | 0.831214
intfloat/multilingual-e5-large,baseline,-,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.855235,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Polypropylen PP | Magerbeton | Betonziegel | Glasfaserbeton | Polyethylen PE | Betonfertigteil normalfest | Phenolharz PF | Bohrpfahlbeton | Hartbeton einschichtig,0.855235 | 0.849785 | 0.849108 | 0.847478 | 0.842958 | 0.841238 | 0.839764 | 0.838295 | 0.837628 | 0.836668
intfloat/multilingual-e5-large,baseline,-,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Phenolharz PF,0.859536,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Phenolharz PF | Polypropylen PP | Magerbeton | Tiefbaubeton | Polyethylen PE | Betonfertigteil normalfest | Glasfaserbeton | Bohrpfahlbeton | Polystyrol PS | Polyurethan PUR PIR,0.859536 | 0.852156 | 0.849365 | 0.847562 | 0.847264 | 0.846265 | 0.840743 | 0.839642 | 0.837336 | 0.837017
intfloat/multilingual-e5-large,baseline,-,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,1.000000,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Tiefbaubeton | Glasfaserbeton | Bohrpfahlbeton | Hartbeton einschichtig | Betonziegel | Hartbeton zweischichtig | Messing-/Baubronzeblech | Baukleber Einbettmörtel mineralisch | Betonfertigteil hochfest,1.000000 | 0.908444 | 0.890122 | 0.882910 | 0.858834 | 0.858765 | 0.849674 | 0.838795 | 0.836888 | 0.833309
intfloat/multilingual-e5-large,baseline,-,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Kunststeinplatte zementgebunden,0.838221,17,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Kunststeinplatte zementgebunden | Kraftpapier | Messing-/Baubronzeblech | Chromstahlblech verzinnt | Gussasphalt | Silicon-Fugenmasse | Konstruktionsvollholz | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Glasfaserbeton | 2-Komponenten Klebstoff,0.838221 | 0.831809 | 0.826947 | 0.826317 | 0.825627 | 0.824163 | 0.823529 | 0.821225 | 0.820684 | 0.820428
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,0,B500B,Armierungsstahl,Armierungsstahl,1,Glasfaserbeton,0.527202,79,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Glasfaserbeton | Polyethylenvlies PE | Bitumenemulsion | Acrylnitril-Butadien-Styrol ABS | Tiefbaubeton | Polyethylen PE | Dichtungsbahn bituminös | Polyurethan PUR PIR | Polycarbonat PC | Polystyrol PS,0.527202 | 0.517435 | 0.508314 | 0.506682 | 0.504288 | 0.503697 | 0.502304 | 0.502219 | 0.501295 | 0.500830
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Gusseisen,0.570458,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Gusseisen | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Blei | Glasfaserbeton | Messing-/Baubronzeblech | Hartbeton zweischichtig | Polyethylen PE | Betonfertigteil hochfest,0.570458 | 0.557184 | 0.555714 | 0.553835 | 0.543556 | 0.541431 | 0.535686 | 0.530112 | 0.528780 | 0.524801
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.672347,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Polycarbonat PC | Betonfertigteil hochfest | Bohrpfahlbeton | Acrylnitril-Butadien-Styrol ABS | Betonfertigteil normalfest | Polyethylen PE | Hartbeton zweischichtig,0.672347 | 0.578730 | 0.549684 | 0.539556 | 0.536433 | 0.524238 | 0.523314 | 0.519843 | 0.519652 | 0.516805
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Glasfaserbeton,0.590980,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Glasfaserbeton | Tiefbaubeton | Bohrpfahlbeton | Betonfertigteil hochfest | Polycarbonat PC | Betonfertigteil normalfest | Polyethylen PE | Acrylnitril-Butadien-Styrol ABS | Magerbeton | Polypropylen PP,0.590980 | 0.581591 | 0.568481 | 0.550651 | 0.537346 | 0.534607 | 0.527492 | 0.522824 | 0.519710 | 0.519278
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,0.731020,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton einschichtig | Bohrpfahlbeton | Kalksandstein | Natursteinplatte poliert | Kalksteinplatte | Betonziegel | Hartbeton zweischichtig,0.731020 | 0.593099 | 0.536952 | 0.524506 | 0.523429 | 0.521197 | 0.519150 | 0.518333 | 0.512402 | 0.511883
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Kraftpapier,0.511392,12,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Kraftpapier | Phenolharz PF | 2-Komponenten Klebstoff | Silicon-Fugenmasse | Gussasphalt | Gipsfaserplatte | Polysulfiddichtungsmasse | Bitumenemulsion | Glasfaserbeton | Polystyrol extrudiert XPS,0.511392 | 0.507854 | 0.503964 | 0.503925 | 0.502546 | 0.502328 | 0.501495 | 0.501394 | 0.501344 | 0.501224
intfloat/multilingual-e5-base,baseline,-,0,B500B,Armierungsstahl,Armierungsstahl,1,Messing-/Baubronzeblech,0.822515,95,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Messing-/Baubronzeblech | Polycarbonat PC | Aluminiumblech blank | Dichtungsbahn bituminös | Acrylnitril-Butadien-Styrol ABS | Aluminiumprofil blank | Tiefgründung Ortbetonbohrpfahl 900 | Phenolharz PF | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Kupferblech blank,0.822515 | 0.809958 | 0.809455 | 0.807377 | 0.804542 | 0.803004 | 0.802653 | 0.802009 | 0.800021 | 0.799983
intfloat/multilingual-e5-base,baseline,-,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.890344,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonziegel | Tiefbaubeton | Magerbeton | Glasfaserbeton | Betonfertigteil hochfest | Hartbeton einschichtig | Sand | Betonfertigteil normalfest | Bohrpfahlbeton | Hartbeton zweischichtig,0.890344 | 0.874174 | 0.871559 | 0.866969 | 0.855332 | 0.855005 | 0.854806 | 0.853565 | 0.850209 | 0.849901
intfloat/multilingual-e5-base,baseline,-,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.847905,35,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Hartbeton einschichtig | Polypropylen PP | Betonfertigteil normalfest | Betonfertigteil hochfest | Phenolharz PF | Magerbeton | Kies gebrochen | Polyethylen PE | Polyethylenvlies PE | Polystyrol PS,0.847905 | 0.847600 | 0.845725 | 0.845545 | 0.842138 | 0.840614 | 0.838706 | 0.837098 | 0.835784 | 0.834023
intfloat/multilingual-e5-base,baseline,-,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Phenolharz PF,0.865458,10,False,0.000000,0.000000,1.000000,0.100000,0.289065,0.100000,1.000000,Phenolharz PF | Polypropylen PP | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton einschichtig | Polyethylenfolie PE | Glasfaserbeton | Faserzementplatte | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Bohrpfahlbeton,0.865458 | 0.851491 | 0.850838 | 0.850460 | 0.844627 | 0.841404 | 0.838599 | 0.834399 | 0.834348 | 0.833663
intfloat/multilingual-e5-base,baseline,-,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,1.000000,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Glasfaserbeton | Tiefbaubeton | Hartbeton zweischichtig | Hartbeton einschichtig | Faserzementplatte | Bohrpfahlbeton | Kunststeinplatte zementgebunden | Kalksteinplatte | Baukleber Einbettmörtel mineralisch,1.000000 | 0.877288 | 0.859067 | 0.848286 | 0.847399 | 0.843510 | 0.842906 | 0.836525 | 0.835425 | 0.832837
intfloat/multilingual-e5-base,baseline,-,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,2-Komponenten Klebstoff,0.869918,25,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2-Komponenten Klebstoff | Kautschukdichtungsmasse | Kunststeinplatte zementgebunden | Betonfertigteil hochfest | Kraftpapier | Polystyrol extrudiert XPS | Polysulfiddichtungsmasse | Messing-/Baubronzeblech | Hartbeton zweischichtig | Betonfertigteil normalfest,0.869918 | 0.863277 | 0.858696 | 0.852824 | 0.851895 | 0.851355 | 0.850433 | 0.849483 | 0.849317 | 0.848526
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,0,B500B,Armierungsstahl,Armierungsstahl,1,Glasfaserbeton,0.527201,95,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Glasfaserbeton | Polyethylenvlies PE | Acrylnitril-Butadien-Styrol ABS | Dichtungsbahn bituminös | Polycarbonat PC | Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400 | Betonfertigteil normalfest | Polystyrol PS | Tiefgründung Ortbetonbohrpfahl 700,0.527201 | 0.517435 | 0.506683 | 0.502304 | 0.501295 | 0.501144 | 0.501061 | 0.500908 | 0.500830 | 0.500704
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.557184,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Glasfaserbeton | Messing-/Baubronzeblech | Hartbeton zweischichtig | Dichtungsbahn bituminös | Betonfertigteil hochfest | Magerbeton | Konstruktionsvollholz,0.557184 | 0.555714 | 0.553835 | 0.541431 | 0.535686 | 0.530112 | 0.527630 | 0.524801 | 0.518392 | 0.518222
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.672347,35,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Glasfaserbeton | Magerbeton | Polycarbonat PC | Betonfertigteil hochfest | Betonfertigteil normalfest | Polyethylen PE | Hartbeton zweischichtig | Hartbeton einschichtig | Polyethylenvlies PE | Polypropylen PP,0.672347 | 0.549684 | 0.539556 | 0.536433 | 0.519843 | 0.519652 | 0.516805 | 0.516737 | 0.513723 | 0.513141
