model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,10,Beam JOIST Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.670640,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Betonziegel | Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefbaubeton | Glasfaserbeton | Hartbeton zweischichtig | Kunststeinplatte zementgebunden,0.670640 | 0.668342 | 0.664608 | 0.664502 | 0.646338 | 0.642686 | 0.630322 | 0.611885 | 0.590905 | 0.558052
google/embeddinggemma-300m,11,Beam PIERCAP Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.696864,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Bohrpfahlbeton | Magerbeton | Betonziegel | Hartbeton einschichtig | Tiefbaubeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Kunststeinplatte zementgebunden,0.696864 | 0.675763 | 0.667197 | 0.659683 | 0.637564 | 0.626514 | 0.606073 | 0.600251 | 0.587796 | 0.541369
google/embeddinggemma-300m,12,Beam SPANDREL Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.679953,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Magerbeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Glasfaserbeton | Hartbeton zweischichtig | Baugrubensicherung Spundwand auskragend,0.679953 | 0.671370 | 0.664885 | 0.660196 | 0.623860 | 0.619210 | 0.613374 | 0.611482 | 0.593374 | 0.580527
google/embeddinggemma-300m,13,Beam T_BEAM Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.655046,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Hartbeton einschichtig | Tiefbaubeton | Bohrpfahlbeton | Betonziegel | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.655046 | 0.650596 | 0.650495 | 0.638129 | 0.636710 | 0.606514 | 0.595683 | 0.595320 | 0.572400 | 0.545203
google/embeddinggemma-300m,14,Bearing CYLINDRICAL S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Gusseisen,0.435825,33,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Blei | Dichtungsbahn bituminös | Heissbitumen | Baugrubensicherung Rühlwand auskragend | Furniersperrholz | Baugrubensicherung Bohrpfahlwand gespriesst | Bitumenemulsion | Faserzementplatte | Backstein,0.435825 | 0.405835 | 0.402082 | 0.383448 | 0.380391 | 0.379362 | 0.378891 | 0.376887 | 0.376229 | 0.374900
google/embeddinggemma-300m,15,Bearing CYLINDRICAL Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Armierungsstahl,0.643734,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Armierungsstahl | Stahlblech verzinkt | Chromstahlblech verzinnt | Chromnickelstahlblech verzinnt | Stahlprofil blank | Stahlblech blank | Chromnickelstahlblech blank | Chromstahlblech blank | Blei | Gusseisen,0.643734 | 0.626960 | 0.601852 | 0.580434 | 0.569765 | 0.565357 | 0.549087 | 0.535667 | 0.527408 | 0.521670
google/embeddinggemma-300m,16,Bearing DISK Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Dichtungsbahn Gummi EPDM,0.567580,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Dichtungsbahn Gummi EPDM | Hartfaserplatte | Faserzementplatte | Bitumenemulsion | Kautschukdichtungsmasse | Dichtungsbahn bituminös | Gusseisen | Heissbitumen | Blei | Dichtungsbahn Polyolefin FPO,0.567580 | 0.522270 | 0.522076 | 0.515699 | 0.510761 | 0.507670 | 0.501922 | 0.498464 | 0.494435 | 0.489578
google/embeddinggemma-300m,17,Bearing ELASTOMERIC Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Dichtungsbahn Gummi EPDM,0.617152,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Dichtungsbahn Gummi EPDM | Bitumenemulsion | Dichtungsbahn Polyolefin FPO | Kautschukdichtungsmasse | Heissbitumen | Polyethylen PE | Blei | Gusseisen | Dichtungsbahn bituminös | Polyurethan PUR PIR,0.617152 | 0.554137 | 0.525054 | 0.524918 | 0.515686 | 0.504213 | 0.503664 | 0.499901 | 0.497597 | 0.487666
google/embeddinggemma-300m,18,Bearing GUIDE PTFE,Polyethylen PE,Polyethylen PE,1,Dichtungsbahn Polyolefin FPO,0.556565,4,False,0.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,Dichtungsbahn Polyolefin FPO | Gusseisen | Blei | Polyethylen PE | Dichtungsbahn Gummi EPDM | Polyethylenvlies PE | Dichtungsbahn bituminös | Silicon-Fugenmasse | Hartfaserplatte | Faserzementplatte,0.556565 | 0.544993 | 0.537226 | 0.530125 | 0.526943 | 0.503679 | 0.499267 | 0.498354 | 0.494781 | 0.489226
google/embeddinggemma-300m,19,Bearing GUIDE Polytetrafluoroethylene,Polyethylen PE,Polyethylen PE,1,Dichtungsbahn Polyolefin FPO,0.567177,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Dichtungsbahn Polyolefin FPO | Polyethylen PE | Polyethylenfolie PE | Phenolharz PF | Polyethylenvlies PE | Dichtungsbahn Gummi EPDM | Hartfaserplatte | Blei | Polystyrol PS | Gusseisen,0.567177 | 0.557679 | 0.524484 | 0.520719 | 0.518625 | 0.505495 | 0.490183 | 0.489599 | 0.482019 | 0.478189
google/embeddinggemma-300m,20,Bearing GUIDE Teflon,Polyethylen PE,Polyethylen PE,1,Blei,0.555793,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Blei | Gusseisen | Dichtungsbahn Polyolefin FPO | Dichtungsbahn Gummi EPDM | Polyethylen PE | Silicon-Fugenmasse | Dichtungsbahn bituminös | Armierungsstahl | Heissbitumen | Betonziegel,0.555793 | 0.554561 | 0.526994 | 0.504040 | 0.498108 | 0.486706 | 0.479647 | 0.479162 | 0.472244 | 0.471628
google/embeddinggemma-300m,21,Bearing POT S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Gusseisen,0.479217,45,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Blei | Sand | Heissbitumen | Phenolharz PF | Brettsperrholz | Furniersperrholz | Tiefbaubeton | Bitumenemulsion | Betonfertigteil normalfest,0.479217 | 0.440260 | 0.413310 | 0.406439 | 0.404029 | 0.401422 | 0.401232 | 0.392303 | 0.392190 | 0.391517
google/embeddinggemma-300m,22,Bearing POT Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Armierungsstahl,0.638417,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Armierungsstahl | Stahlblech verzinkt | Chromstahlblech verzinnt | Stahlblech blank | Gusseisen | Stahlprofil blank | Chromnickelstahlblech verzinnt | Blei | Chromstahlblech blank | Chromnickelstahlblech blank,0.638417 | 0.594699 | 0.559782 | 0.530217 | 0.527864 | 0.521213 | 0.520899 | 0.515122 | 0.489786 | 0.488262
google/embeddinggemma-300m,23,Bearing ROCKER S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Gusseisen,0.476483,34,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Backstein | Kalksandstein | Brettsperrholz | Furniersperrholz | Hartsandsteinplatte | Baugrubensicherung Bohrpfahlwand gespriesst | Hartfaserplatte | Natursteinplatte geschliffen | Balkenschichtholz,0.476483 | 0.464494 | 0.430493 | 0.426332 | 0.425822 | 0.421879 | 0.420029 | 0.419493 | 0.418872 | 0.418208
google/embeddinggemma-300m,24,Bearing ROCKER Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Armierungsstahl,0.596651,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Armierungsstahl | Stahlblech verzinkt | Stahlblech blank | Chromstahlblech verzinnt | Stahlprofil blank | Gusseisen | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Backstein,0.596651 | 0.593940 | 0.546600 | 0.531889 | 0.520781 | 0.506715 | 0.506196 | 0.485412 | 0.483177 | 0.477496
google/embeddinggemma-300m,25,Bearing ROLLER S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Gusseisen,0.429961,38,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Blei | Heissbitumen | Rundkies | Bitumenemulsion | Furniersperrholz | Baugrubensicherung Rühlwand auskragend | Backstein | Kraftpapier | Polyurethan PUR PIR,0.429961 | 0.403487 | 0.387587 | 0.381839 | 0.378554 | 0.375222 | 0.374454 | 0.373526 | 0.364089 | 0.362694
google/embeddinggemma-300m,26,Bearing ROLLER Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Armierungsstahl,0.596098,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Armierungsstahl | Stahlblech verzinkt | Chromstahlblech verzinnt | Stahlblech blank | Chromnickelstahlblech verzinnt | Blei | Stahlprofil blank | Gusseisen | Chromnickelstahlblech blank | Chromstahlblech blank,0.596098 | 0.585604 | 0.540819 | 0.530382 | 0.512727 | 0.506660 | 0.506086 | 0.506038 | 0.481508 | 0.472279
google/embeddinggemma-300m,27,Bearing SPHERICAL S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Gusseisen,0.442193,39,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Blei | Heissbitumen | Dichtungsbahn bituminös | Baugrubensicherung Spundwand auskragend | Backstein | Baugrubensicherung Bohrpfahlwand gespriesst | Sand | Bitumenemulsion | Furniersperrholz,0.442193 | 0.413484 | 0.402993 | 0.392892 | 0.391109 | 0.390613 | 0.384130 | 0.382699 | 0.380211 | 0.380165
google/embeddinggemma-300m,28,Bearing SPHERICAL Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Armierungsstahl,0.633369,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Armierungsstahl | Stahlblech verzinkt | Chromstahlblech verzinnt | Stahlblech blank | Stahlprofil blank | Chromnickelstahlblech verzinnt | Gusseisen | Chromnickelstahlblech blank | Chromstahlblech blank | Blei,0.633369 | 0.608846 | 0.563826 | 0.562646 | 0.560108 | 0.539162 | 0.514599 | 0.514559 | 0.508842 | 0.507837
google/embeddinggemma-300m,29,CaissonFoundation CAISSON Beton,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.709628,1,True,1.000000,1.000000,1.000000,1.000000,0.877215,0.750000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonziegel | Glasfaserbeton | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Hartbeton zweischichtig,0.709628 | 0.693374 | 0.683381 | 0.676522 | 0.672504 | 0.668028 | 0.664319 | 0.648825 | 0.640854 | 0.612033
google/embeddinggemma-300m,30,CaissonFoundation CAISSON Stahlbeton,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.669273,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Betonfertigteil hochfest | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Hartbeton zweischichtig | Betonziegel,0.669273 | 0.665356 | 0.663137 | 0.641334 | 0.631561 | 0.622330 | 0.611374 | 0.609485 | 0.603632 | 0.591542
google/embeddinggemma-300m,31,CaissonFoundation WELL Beton,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.662181,1,True,1.000000,1.000000,1.000000,1.000000,0.919721,0.833333,1.000000,Tiefbaubeton | Magerbeton | Bohrpfahlbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig,0.662181 | 0.643086 | 0.635032 | 0.627875 | 0.624833 | 0.623366 | 0.612282 | 0.610781 | 0.602671 | 0.567838
google/embeddinggemma-300m,32,CaissonFoundation WELL Stahlbeton,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Bohrpfahlbeton,0.633309,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Bohrpfahlbeton | Tiefbaubeton | Hartbeton einschichtig | Magerbeton | Glasfaserbeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig | Betonziegel,0.633309 | 0.624770 | 0.614215 | 0.607443 | 0.598724 | 0.593535 | 0.581977 | 0.574008 | 0.564269 | 0.561307
google/embeddinggemma-300m,33,Column COLUMN Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.633622,4,False,0.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Betonziegel | Tiefbaubeton | Magerbeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.633622 | 0.632674 | 0.629655 | 0.621075 | 0.608968 | 0.605972 | 0.591976 | 0.576634 | 0.572129 | 0.558510
google/embeddinggemma-300m,34,Column COLUMN Stahlbeton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.620394,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Magerbeton | Hartbeton zweischichtig | Betonfertigteil hochfest | Glasfaserbeton | Betonfertigteil normalfest | Stahlblech verzinkt,0.620394 | 0.598938 | 0.579427 | 0.570689 | 0.566426 | 0.554244 | 0.551911 | 0.546888 | 0.540648 | 0.528851
google/embeddinggemma-300m,35,Column COLUMN S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Gusseisen,0.438119,33,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Backstein | Furniersperrholz | Sand | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Bohrpfahlwand gespriesst | Brettsperrholz | Tiefgründung Rüttelstopfsäule | Brettschichtholz | Balkenschichtholz,0.438119 | 0.391147 | 0.390351 | 0.389657 | 0.389656 | 0.381454 | 0.380467 | 0.378253 | 0.376594 | 0.374578
google/embeddinggemma-300m,36,Column PIERSTEM Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.610580,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Tiefbaubeton | Betonfertigteil hochfest | Glasfaserbeton | Betonfertigteil normalfest | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.610580 | 0.588154 | 0.582527 | 0.576463 | 0.574546 | 0.573518 | 0.558793 | 0.547846 | 0.533696 | 0.524645
google/embeddinggemma-300m,37,Column PIERSTEM Stahlbeton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.601277,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Betonfertigteil hochfest | Stahlblech verzinkt | Betonfertigteil normalfest,0.601277 | 0.550757 | 0.549759 | 0.535947 | 0.533054 | 0.531370 | 0.528059 | 0.526014 | 0.505473 | 0.501176
google/embeddinggemma-300m,38,Column PIERSTEM S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Gusseisen,0.460928,41,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Furniersperrholz | Polyurethan PUR PIR | Brettschichtholz | Brettsperrholz | Baugrubensicherung Bohrpfahlwand gespriesst | Balkenschichtholz | Backstein | Tiefbaubeton | Konstruktionsvollholz,0.460928 | 0.430968 | 0.428945 | 0.422129 | 0.421236 | 0.417445 | 0.415193 | 0.409896 | 0.403025 | 0.401982
google/embeddinggemma-300m,39,Column PIERSTEM_SEGMENT Beton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.612883,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Betonfertigteil hochfest | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Betonziegel | Betonfertigteil normalfest | Tiefbaubeton | Glasfaserbeton | Hartbeton zweischichtig | Kunststeinplatte zementgebunden,0.612883 | 0.604989 | 0.594583 | 0.589360 | 0.586953 | 0.581996 | 0.569474 | 0.567178 | 0.557301 | 0.543204
google/embeddinggemma-300m,40,Column PIERSTEM_SEGMENT Stahlbeton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.608799,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Betonfertigteil hochfest | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Tiefgründung Vorgefertigter Betonpfahl,0.608799 | 0.583512 | 0.581358 | 0.561516 | 0.559088 | 0.557356 | 0.551986 | 0.548027 | 0.544619 | 0.510325
google/embeddinggemma-300m,41,Column PIERSTEM_SEGMENT S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Gusseisen,0.429379,47,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Baugrubensicherung Bohrpfahlwand gespriesst | Furniersperrholz | Baugrubensicherung Spundwand auskragend | Backstein | Balkenschichtholz | Tiefgründung Rüttelstopfsäule | Brettschichtholz | Polyurethan PUR PIR | Brettsperrholz,0.429379 | 0.408164 | 0.402834 | 0.396862 | 0.391073 | 0.389571 | 0.388713 | 0.385085 | 0.383774 | 0.380341
google/embeddinggemma-300m,42,Column PILASTER Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.634604,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Bohrpfahlbeton | Magerbeton | Betonziegel | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.634604 | 0.611249 | 0.604764 | 0.592983 | 0.589819 | 0.580488 | 0.569694 | 0.557116 | 0.540122 | 0.529737
google/embeddinggemma-300m,43,Column PILASTER Stahlbeton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.633288,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Glasfaserbeton | Betonziegel | Tiefbaubeton | Hartbeton zweischichtig | Betonfertigteil hochfest | Betonfertigteil normalfest | Stahlblech verzinkt,0.633288 | 0.583655 | 0.573142 | 0.570118 | 0.567544 | 0.564189 | 0.541558 | 0.536354 | 0.525793 | 0.521199
google/embeddinggemma-300m,44,Column PILASTER S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Gusseisen,0.474668,40,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gusseisen | Backstein | Furniersperrholz | Brettschichtholz | Baugrubensicherung Bohrpfahlwand gespriesst | Balkenschichtholz | Tiefgründung Rüttelstopfsäule | Brettsperrholz | Tiefbaubeton | Gipskartonplatte,0.474668 | 0.438485 | 0.415826 | 0.409022 | 0.407212 | 0.407144 | 0.405063 | 0.402429 | 0.400361 | 0.397677
google/embeddinggemma-300m,45,Column STANDCOLUMN Beton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.607068,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Betonfertigteil hochfest | Betonfertigteil normalfest | Hartbeton einschichtig | Bohrpfahlbeton | Tiefbaubeton | Betonziegel | Magerbeton | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl,0.607068 | 0.601164 | 0.599284 | 0.593127 | 0.584070 | 0.580175 | 0.573223 | 0.555054 | 0.543104 | 0.534211
